term	family	layer	function	attested	gloss	source	same_object_as
Ha (破)	Japanese	section	medial (lossy)	"0 as a Japanese term; 1418 literal / 89 word-boundary hits, all Welsh ""Ha! ha!"" and Sanskrit iha"	The breaking/development phase: the bulk of the unit, where material is elaborated and tempo begins to gather. In a five-dan nō play this is dan 2–4 — three sections, one phase, which is itself why a phase is not a section.	"Zeami, Sandō/Kakyō; Grove ""Japan §II""; Garland vol. 7"	"≈ Hindustani jor; ≈ the ""development"" of sonata form in position only. Repo: no match — SECTION_FUNCTIONS has no development function; bridge is a contrast, not an elaboration."
Jo (序)	Japanese	section	front_framing (lossy)	"0 as a Japanese term; 797 literal / 23 word-boundary hits, all Scots ""jo"" in HEADER title lines and Finnish ""jo"" in body text"	The preparation phase: slow, spacious, often free-rhythm, stating material rather than developing it. Printed as an actual section name — a tegoto prelude is called jo or makura. Lossy: front_framing keeps the position and drops the tempo/density definition.	"Zeami, Sandō/Kakyō; Grove ""Japan""; Japanese Wiki Corpus, Tegoto (jo/makura as the tegoto prelude)"	= Makura (below) — explicitly synonymous in tegotomono, same object, two names. ≈ Hindustani ālāp, gagaku netori, Turkish taksim, Western prelude. Repo: nearest is intro.
Kudoki (口説き)	Japanese	section	contrasting	0 files	The lyrical pleading/lament section: slow, melodically dense, percussion seldom heard, historically the romantic-music section, in kabuki dance carried by the onnagata. The expressive centre.	"Malm, Nagauta: The Heart of Kabuki Music; Britannica ""Japanese music: Samisen music""; Garland vol. 7"	≈ the operatic lament aria (lamento) — a slow expressive solo that arrests the surrounding motion. Typed contrasting rather than goal because it does not return and is not an arrival; it is the still 
Kyū (急)	Japanese	section	rear_framing (lossy)	0 files (0 for ASCII kyu as a term)	The rapid phase: fast, compressed, terminal. Definitionally about speed and compression, only incidentally about being last.	"Zeami, Sandō/Kakyō; Grove ""Japan §II""; Garland vol. 7"	= Chirashi (below) — chirashi is the kyū realized in nagauta form. ≈ Hindustani jhālā; ≈ a stretto close. Repo: straddles build and drop — see §5(c).
Maebiki (前弾き)	Japanese	section	front_framing	0 files	"""Fore-playing"": the instrumental shamisen prelude before the voice enters."	Malm, Japanese Music and Musical Instruments; Blasdel, Jiuta Sōkyoku Lyrics and Explanations; standard jiuta-tegotomono terminology	≈ Netori, Makura, Jo within Japanese; ≈ Indonesian buka, Western prelude/intro. Repo: intro. Function note: it is instrumental and front-framing; typed front_framing because position is the whole of w
Makura (枕)	Japanese	section	front_framing	0 files	"""Pillow"": the introductory portion of a tegoto, preceding the hon-tegoto main segment."	"Japanese Wiki Corpus, Tegoto (""preludes called 'jo' or 'makura'... followed by the main segment, hon-tegoto""); Grove ""Japan"""	= Jo in this context — the source names them as alternatives for one object. ≈ Maebiki, Netori. Repo: intro. ⚠ NOT the same object as the repo's own X32 枕詞 makurakotoba (quality/canon_index.tsv:460) —
Michiyuki (道行)	Japanese	section	initiating	0 files	"""Travel passage"": the entrance/journey span. In nagauta it brings in the percussion as the dancer enters; in nō it is the waki's travel song at the front; in jōruri it is a full set-piece journey scene, often late."	"Malm, Nagauta: The Heart of Kabuki Music (1963); Grove ""Japan §VII""; Garland vol. 7"	Structurally DISTINCT and this is the interesting part: michiyuki is typed by CONTENT (a journey happens), not by position. The global function set is positional/functional, so any mapping is lossy in
Netori (音取)	Japanese	section	front_framing	0 files	"""Sound-taking"": a short free-rhythm modal prelude played before a piece to establish its mode (chōshi) and settle the ensemble's pitch. Fixed and formulaic, one per mode — brief, not developed."	"Grove ""Japan §III (gagaku)""; Garfias, Music of a Thousand Autumns: The Tōgaku Style of Japanese Court Music (1975); Garland vol. 7"	Strong cross-tradition identity: the modal-establishing prelude family — Hindustani/Carnatic ālāp, Arab-Turkish taqsīm/taksim, Persian darāmad, Italian intonazione, Javanese buka. Netori sits at the s
Odoriji (踊り地)	Japanese	section	medial	0 files	"""Dance ground"": the main dance section, lively, featuring the taiko. -ji (地) marks it as a ground/texture over which the dance sits."	"Malm, Nagauta; Britannica ""Japanese music: Samisen music"" (odoriji ""rather like the kuse or mai of the older nō form"")"	"≈ the danced movement of any dance-suite. Repo: fails interlude (""instrumental or spoken span between sung sections"") — odoriji carries text. No repo match."
Ōzatsuma (大薩摩)	Japanese	section	initiating	0 files (0 for ASCII Ozatsuma)	Ōzatsuma-bushi: one of the oldest kabuki music types, a bombastic narrative shamisen idiom absorbed into nagauta, accompanying aragoto entrances and transformations (Narukami, Kanjinchō, Kokaji). Its own ensemble sits curtained on a downstage-left dais, revealed only while it plays.	"Grove ""Japan §VII""; Malm, Nagauta; Wikipedia ""Nagauta"" (ōzatsuma-bushi in nagauta)"	Nearest true parallel is the Persian gūsheh — a named model that is simultaneously a repertoire item in its own right and a passage inside a larger performance. That double life is what makes its laye
Décima	LatinAm/Caribbean	form	—	0	the ten-line stanza that carries punto, repentismo, joropo and corrido texts	"Grove, ""Décima""; Garland vol. 2, Cuba/Puerto Rico/Venezuela"	"exact MARK_REFUSED[""PANTUN""] shape: ""a whole quatrain FORM, not a section of a song"" — swap quatrain for ten-line stanza"
Espinela	LatinAm/Caribbean	form	—	0	the standard décima: ten octosyllables rhyming abbaaccddc, after Vicente Espinel	standard Spanish versification (Navarro Tomás, Métrica española)	"≈ DÉCIMA — ""décima"" in practice means ""décima espinela"". Its rhyme scheme belongs in quality/structures.py, not a section table. See list (c)"
Revuelta	LatinAm/Caribbean	form	—	0	the multi-part suite of joropo central/tuyero — named parts performed in fixed succession	Garland vol. 2, Venezuela	the one clean form row in the family: a pattern OVER sections, exactly the layer definition
Arrastre	LatinAm/Caribbean	perform	—	0	the dragged, scooped attack into a strong beat	standard terminology (Argentine tango practice); Peralta 2008	an articulation. Nearest repo object: nothing — the repo has no articulation layer
Bajeo	LatinAm/Caribbean	perform	—	0	the bass ostinato of son/salsa (anticipated tumbao bass)	Mauleón 1993; standard terminology	one instrument's part. Paired with the piano montuno (guajeo), which is the same layer under a name this table gives to a section
Bongó bell change	LatinAm/Caribbean	perform	—	0	the bongosero's switch from bongó to campana, the audible marker that the montuno has begun	Mauleón 1993; standard terminology	= CAMPANA SECTION. Two names for one event; neither is a span. A lyric sheet cannot carry either
Campana section	LatinAm/Caribbean	perform	—	0	the span in which the bongosero puts down the bongó and plays the hand bell	Mauleón 1993; standard terminology	= BONGÓ BELL CHANGE, and both name the arrival of MONTUNO. A scoring change, not a span with its own name: the span is already called montuno
Segunda	LatinAm/Caribbean	perform	—	0	the parallel-thirds second voice (fazer a segunda)	standard terminology (Brazilian vocal practice); Garland vol. 2, Brazil	a VOICE PART, not a span. Also collides with the Rio surdo de segunda — a third perform-layer object under the same string
Yeite	LatinAm/Caribbean	perform	—	0	the tango string/bandoneón sound effects (chicharra, tambor, látigo, cepillo)	standard terminology (Argentine tango practice); Peralta 2008	a family of timbral effects. Not a span; a lyric sheet cannot carry one
Cierre	LatinAm/Caribbean	phrase	—	0	a short composed rhythmic break played in unison to close a section or turn it over	Mauleón 1993; standard terminology	same shape as the repo's turnaround and tag — which sit in SECTION_FUNCTIONS despite being figures, not spans. See list (c)
Estribillo	LatinAm/Caribbean	phrase	—	0	the short returning refrain (a line or couplet) between versos	"Grove, ""Vallenato""; standard Spanish versification (estribillo = refrain)"	"see §3. Already in the repo at quality/relations.py:4065 as (""Spanish refrán / estribillo / rima del mismo vocablo"", ""spa"") in the ""repetition"" family — beside English ""refrain / burden / chorus"""
Pregón	LatinAm/Caribbean	phrase	—	0	the sonero's improvised call, sung in the gap the coro leaves; new words every time, variable length, no fixed count	"Grove, ""Pregón""; Mauleón 1993; Manuel, Caribbean Currents (Temple UP)"	see §2. Polysemous: pregón is also a Cuban song GENRE built on street-vendors' cries (El manisero) — that sense is layer=process and must not share this row
Apambichao	LatinAm/Caribbean	process	—	0	"the slower, syncopated pambiche feel (< ""Palm Beach""), governing a whole piece"	Austerlitz 1997	a feel/substyle, not a span. Genre-level, PANTUN shape
Baião section	LatinAm/Caribbean	process	—	0	a span of a forró set played in baião rhythm	"Grove, ""Baião"" for the genre; the SECTION reading is UNCITED"	"baião is a genre/rhythm, and ""baião section"" is an analyst's phrase, not an emic section name. PANTUN shape"
Bomba	LatinAm/Caribbean	process	—	0 (FP: 11 files, bombard)	an Afro-Puerto-Rican drum-and-dance GENRE with its own soloist/coro alternation and dancer-drummer piquete	"Grove, ""Bomba""; Garland vol. 2, Puerto Rico"	"misfiled under Son. A whole genre, not a section — the exact MARK_REFUSED[""PANTUN""] argument. Its internal soloist/coro is a fourth member of §2's missing relation"
Controversia	LatinAm/Caribbean	process	—	0 (FP: 1 file = controversial)	the sung duel: two improvisers trade décimas, each answering the last	Garland vol. 2, Cuba/Puerto Rico; standard terminology	§2's relation between two SOLOISTS instead of soloist and chorus. Whole-piece: the duel is the piece, so it is process, not a section
Gaita section	LatinAm/Caribbean	process	—	0	a span carried by the gaita duct flutes (gaita hembra/macho)	Garland vol. 2, Colombia for the instrument/genre; the SECTION reading is UNCITED	gaita names an instrument and a genre; also collides with Venezuelan gaita zuliana, an unrelated genre. Not an emic section name
Pasaje	LatinAm/Caribbean	process	—	0	the lyrical, slower joropo style	"Garland vol. 2, Venezuela; Grove, ""Joropo"""	a whole-piece style contrasting with RECIO, not a section within a piece
Punto	LatinAm/Caribbean	process	—	0	the Cuban peasant genre (punto cubano/guajiro) in which décimas are sung, often improvised	"Grove, ""Punto""; Garland vol. 2, Cuba"	a genre. The vehicle for DÉCIMA and the venue for CONTROVERSIA
Puya	LatinAm/Caribbean	process	—	0	one of the four vallenato aires — the fast one	"Garland vol. 2, Colombia; Grove, ""Vallenato"""	an AIRE, not a section. Its three siblings are paseo, merengue, son — three more collisions with section names elsewhere in this same table
